,,,,,,,,,,,,,Individual Badge Doses (in microSV) for personnel type,,,,,,,,,Surrogate for Patient Dose
Procedure date,Patient,MRN,Weight (kg),D.O.B.,Age (days),Age (months) - days/30,Species,Breed,"Sex (FI, FS, MI, MN)","Procedure  type (BPV, PDA PMI, PV Stent)",Procedure time (min),RADPAD Drape Used? Y/N,Faculty,Tech 1,Resident 1,Resident 2,TEE,Anesthesia,Patient,Total fluoro time (sec),Total fluoro time (min),DAP Total (Gycm2)
8/10/2022,Owl ,476079,3.21,2/1/2022,190,6.33,Canine,BPV,65,BPV,65,N,0.36,0.08,7.22,2.69,n/a,0.74,NB,468,7.80,1.20
8/10/2022,Nikki,475470,24.2,12/27/2020,591,19.70,Canine,BPV,45,BPV,45,N,0.08,0.02,2.28,0,n/a,3.71,NB,454,7.57,5.90
8/17/2022,Felix,476035,5.56,4/9/2022,130,4.33,Canine,BPV,72,BPV,72,N,1.54,0.1,7.32,0.02,n/a,8.4,NB,726,12.10,4.07
8/18/2022,Riley,477360,30.4,2/14/2016,2377,79.23,Canine,PMI,85,PMI,85,N,0.28,NB,23.63,3.05,1.33,NB,n/a,298,4.97,10.57
8/24/2022,Sushi,476615,6.5,9/1/2021,357,11.90,Canine,BPV,59,BPV,59,N,3.35,0.01,15.39,1.13,n/a,1.79,NB,784,13.07,2.24
8/26/2022,Nani,477746,8.7,7/15/2009,4790,159.67,Canine,PMI,108,PMI,108,N,n/a,0.01,36.96,n/a,0.08,3.48,n/a,629,10.48,2.49
9/7/2022,Nessa ,478048,9.6,4/29/2022,131,4.37,Canine,PDA,115,PDA,115,N,1.41,0.01,7.37,0.53,2.79,5.33,n/a,391,6.52,3.30
9/7/2022,Gwen ,475746,12.2,11/5/2021,306,10.20,Canine,PDA,108,PDA,108,N,0.12,NB,4.38,0.08,3.2,13.44,n/a,451,7.52,3.70
9/9/2022,Chance ,478280,22.6,8/26/2010,4397,146.57,Canine,PMI,120,PMI,120,N,5.64,0.03,48.39,n/a,n/a,8.37,n/a,225,3.75,5.87
9/14/2022,Bodie,475746,34,7/21/2019,1151,38.37,Canine,BPV,60,BPV,60,N,3.35,0.01,37.45,1.79,n/a,21.01,NB,384,6.40,11.45
9/14/2022,Beka ,477611,3.5,5/22/2022,115,3.83,Canine,PDA,60,PDA,60,N,0.13,0.01,4.43,0.16,0.35,3.41,n/a,199,3.32,0.49
9/28/2022,Nila,478546,10.7,9/14/2021,379,12.63,Canine,BPV,73,BPV,73,N,0.02,0.02,9.03,0.64,n/a,44.11,NB,987,16.45,8.69
10/5/2022,Coalie,478553,6.95,7/29/2022,68,2.27,Canine,PDA,75,PDA,75,N,0.1,0.01,7,0.49,1.69,1.02,3.59,176,2.93,1.32
10/5/2022,Shapiro,479070,25.7,2/14/2013,3520,117.33,Canine,PDA,75,PDA,75,N,0.1,0.01,71,9.11,4.94,2.69,35.35,166,2.77,4.34
10/5/2022,Margo,267046,9.2,7/23/2021,439,14.63,Canine,PV stent,95,PV stent,95,N,1.46,0.02,92,0.12,2.15,23.27,1900,1438,23.97,10.67
